TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Thamnophis sirtalis,0.00000002542890,1424.90000,25.58488,37500000,130372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaea,Thermococcus eurythermalis A501,0.00000000715700,2.12616,1.90912,,6323358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Tupaia belangeri,0.00000000749239,2137.23000,,48000000.00,71045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Turdus merula,0.00000000696983,1012.06656,,30000000.00,195015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Tursiops truncatus,0.00000000883287,2378.52000,33.78945,114000000000.00,35266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Ursus arctos horribilis,0.00000000842500,2328.64000,35.74908,60750000000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Vibrio cholerae 2740-80,0.00000000010700,4.08896,3.49413,0.000000182,327527840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Vibrio fischeri ES114,0.00000000020700,4.27372,3.67558,0.000000145,173457394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Vibrio shilonii BAA-91,0.00000000022900,5.97603,5.17259,,108643134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Vicugna pacos,0.00000000944254,2118.87000,32.77286,15000000000.00,93808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Vulpes vulpes,0.00000000446118,2421.57000,33.38884,2700000000.00,121250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Zea mays subsp. mexicana,0.00000003020000,1204.28000,39.41422,,134604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Zymoseptoria tritici IPO323,0.00000000030500,39.68630,14.37457,,51119628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
