TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Chrysemys picta,0.00000000460803,2481.37000,36.71913,14250000,365465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Clupea harengus,0.00000000200000,786.33000,46.80549,43125000.00,401284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Coleonyx brevis,0.00000000633032,2141.55802,,650000,84093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Colwellia psychrerythraea 34H,0.00000000083800,5.37318,4.47146,0.000000332,439530916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Corynebacterium glutamicum,0.00000000110000,3.28235,2.84638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Coturnix japonica,0.00000000567267,927.66000,29.33392,27000000.00,459553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Cyanistes caeruleus,0.00000000519389,1186.98000,27.41934,3090000000.00,177579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Cynoglossus semilaevis,0.00000000913427,470.20000,38.89273,250000000,202500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Daphnia galeata,0.00000000074500,130.70000,24.90180,7.4005,3115915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Daphnia magna,0.00000000896000,139.90000,27.68833,163.3943,424900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Daphnia pulex,0.00000000393500,133.20000,25.82454,22.2361,1494286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Deinococcus radiodurans BAA-816,0.00000000049900,3.25109,2.87513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Dictyostelium discoideum,0.00000000002900,34.20000,22.02260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Drosophila melanogaster,0.00000000486000,168.70000,23.14625,354.0000,627824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Drosophila pseudoobscura,0.00000000805000,163.28000,24.10619,1000.0000,350178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Drosophila simulans,0.00000000450000,131.66000,23.47988,263.0000,1465440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Ectocarpus sp7 (/ sexual gen.),0.00000000040700,200.08492,39.38901,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Emiliania huxleyi RCC1242,0.00000000055000,167.67600,39.66167,0.000023689,3896759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Escherichia coli K12,0.00000000019900,4.64165,3.98994,0.000000487,170918080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Eublepharis macularius,0.00000000575000,2117.07090,,16250000,184799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Eucalyptus melliodora,0.00000006180000,639.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Felis catus,0.00000000860000,2422.30000,36.38012,1350000000.00,109129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Ficedula albicollis,0.00000000460000,1118.34000,27.53620,3810000.00,218264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Flavobacterium sp.  KBS0721,0.00000000039100,5.81000,5.05480,,60351641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Fukomys damarensis,0.00000000741000,2334.38000,33.96878,45000000.00,40186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Gallus gallus,0.00000000362680,1053.33000,32.49199,750000000.00,221800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Gemmata obscuriglobus DSM5831,0.00000000023800,8.64000,7.47961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Giraffa camelopardalis,0.00000001007320,2441.48000,,277500000000.00,60937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Gorilla gorilla,0.00000001125000,3044.87000,35.04378,37650000000.00,35167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Gyps fulvus,0.00000000261066,1223.56000,,2400000000.00,205211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaea,Halobacterium salinarum NRC-1,0.00000000039900,2.57101,2.24356,,13394796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaea,Haloferax volcanii DS2,0.00000000031500,4.00700,3.38681,,19288723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Hanseniaspora osmophila Y-1381,0.00000000016600,11.45840,7.70524,,9548105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Hanseniaspora uvarum Y-1612,0.00000000016000,8.96645,6.14560,0.000004944,32962250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Hanseniaspora valbyensis Y-1626,0.00000000009600,11.46400,6.33843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Heliconius melpomene,0.00000000290000,273.79000,39.10000,33200.0000,2369416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Hippopotamus amphibius,0.00000001185580,2424.26000,,900000000000.00,60885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Homo sapiens,0.00000001239000,3117.28000,36.45000,18600000000.00,22118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Hylobates lar,0.00000000705280,2851.32398,,1800000000.00,106256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Janthinobacterium lividum KBS0711,0.00000000012200,6.37359,5.70360,,421674036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Kineococcus radiotolerans SRS30216,0.00000000039000,4.95667,4.32256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Lactococcus lactis DSMZ20481,0.00000000166200,2.63908,2.26444,0.000001024,68874566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Larimichthys crocea,0.00000000225529,657.94000,43.24265,125000000,1010407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Larus argentatus,0.00000000741342,1205.25230,,300000000.00,62863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Larus marinus,0.00000000873106,1259.27640,,120000000.00,86048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Leeuwenhoekiella ZYFB001,0.00000000054900,4.05376,3.66432,,123681410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Lemna minor,0.00000000008660,472.00000,22.34619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Macaca mulatta,0.00000000580000,2971.33000,36.48072,2775000000.00,110931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Mandrillus leucophaeus,0.00000000633183,3061.99000,33.98189,5400000000.00,122323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Marasmius oreades (/ sexual gen.),0.00000000725000,44.11000,16.22366,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Megaptera novaeangliae,0.00000001122000,2265.79000,,9400000000000.00,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Mesoplasma florum ATCC 33453,0.00000000978000,0.79322,0.72752,0.000000022,1096649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Microcebus murinus,0.00000001640000,2487.41000,35.59202,26850000.00,41117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Micrococcus sp. KBS0714,0.00000000031800,2.52270,2.23845,,47443067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Micromonas pusilla RCC299,0.00000000081500,21.95830,13.78993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Monodelphis domestica,0.00000000460160,3598.44000,36.15505,36000000.00,197962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Moschus berezovskii,0.00000001002200,2813.36000,,3750000000.00,53179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Mus musculus,0.00000000534755,2717.00000,37.83508,6300000.00,163119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Musa basjoo,0.00000002480000,472.23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Mycobacterium smegmatis MC2 155,0.00000000075800,6.98827,6.33825,0.000000023,4790476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Mycobacterium smegmatis MC2 155,0.00000000052700,6.98827,6.33825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Mycoplasma mycoides JCVI-syn1.0,0.00000003130000,1.09178,0.85494,0.000000110,682085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Nelumbo sp.,0.00000000140000,804.65000,55.76751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Neovison vison,0.00000000464252,2681.22000,35.30177,330000000.00,72891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Neurospora crassa (/ mitotic cell div),0.00000000060300,41.10000,13.30184,,90752612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Neurospora crassa (/ mitotic cell div),0.00000000067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Nonlabens SY33080,0.00000000052100,2.85223,2.61092,,32596714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Odobenus rosmarus,0.00000001323720,2400.15000,32.93866,300000000000.00,12699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Oligocellular:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Orcinus orca,0.00000001413280,2647.35000,34.49059,2160000000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Ornithorhynchus anatinus,0.00000000700000,2300.00000,32.41734,375000000.000,32172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Oryza sativa,0.00000000710000,374.42000,60.40743,61615000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Ostreococcus mediterraneus RCC2590,0.00000000049200,13.98450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Ostreococcus tauri RCC4221,0.00000000041900,13.03280,10.26466,0.000010271,20340914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pan troglodytes,0.00000001265700,3050.40000,37.19000,12675000.00,16907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Panthera pardus,0.00000000883625,2578.02000,35.82424,12300000000.00,29326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Panthera tigris,0.00000000699482,2408.70000,35.40056,45000000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Papio anubis,0.00000000570000,2869.82000,36.16179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Paralichthys olivaceus,0.00000000853337,588.17000,38.45193,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Paramecium biaurelia,0.00000000002440,76.98000,53.64831,,92007390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Paramecium sexaurelia,0.00000000002420,68.02000,48.05741,,285574516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Paramecium tetraurelia,0.00000000001940,72.09450,53.91482,0.016344252,75178302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pelecanus crispus,0.00000000912221,1160.92000,21.48855,3000000000.00,28755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Phaeodactylum tricornutum RCC2967,0.00000000047700,27.45070,14.50310,0.000043000,8847071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Phoenicopterus roseus,0.00000001659300,1270.77488,16.49394,750000000.00,66507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Photorhabdus luminescens ATCC 29999,0.00000000005940,5.74812,4.63780,0.000003071,762891209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Picea sitchensis,0.00000002700000,20455.10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pithecia pithecia,0.00000000993734,2933.56000,,540000000.00,69087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Platalea ajaja,0.00000001693960,1222.42798,,390000000.00,20037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pogona vitticeps,0.00000001433910,1716.68000,33.22372,100000000,278938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pongo abelii,0.00000001660000,3065.05000,34.90545,27765000000.00,47741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
