Region,Zone,TimeOfDay,Depth,Temperature,Biomass
Mine,Inshore,Day,150,28.0115208,0.377820896
Mine,Inshore,Day,50,26.06231402,0.843008552
Mine,Inshore,Day,115,29.97797575,0.26059849
Mine,Inshore,Day,225,29.56385106,0.073693053
Mine,Inshore,Day,225,29.82121255,0.309854468
Mine,Inshore,Day,225,27.62507099,0.209433365
Mine,Inshore,Day,225,28.77828632,0.178123364
Mine,Offshore,Night,50,29.09248642,0.994788477
Mine,Offshore,Night,100,31.07514935,0.279464335
Mine,Offshore,Night,150,29.46303707,0.157048936
Mine,Offshore,Night,200,30.29349129,0.091702638
Mine,Offshore,Night,250,30.04412801,0.162712282
Mine,Offshore,Night,50,28.53055939,0.490725931
Mine,Offshore,Night,100,30.96315639,0.184417243
Mine,Offshore,Night,150,27.30594794,0.065234496
Mine,Offshore,Night,200,30.32833927,0.035438809
Mine,Offshore,Night,250,30.25132756,0.107219327
Mine,Inshore,Day,12.5,29.76960672,0.792600941
Mine,Inshore,Day,37.5,27.93049783,0.59021384
Mine,Inshore,Day,62.5,30.00808308,0.525371371
Mine,Inshore,Day,87.5,28.74133866,0.250036491
Mine,Inshore,Day,112.5,29.35481014,0.145404325
Mine,Inshore,Day,12.5,28.65656929,0.731611462
Mine,Inshore,Day,37.5,29.44606143,0.683846604
Mine,Inshore,Day,62.5,28.0542296,0.638169827
Mine,Inshore,Day,87.5,30.74743243,0.266752377
Mine,Inshore,Day,112.5,30.83374241,0.090570523
Mine,Inshore,Day,12.5,28.73932141,0.657341846
Mine,Inshore,Day,37.5,28.87648127,0.528554846
Mine,Inshore,Day,62.5,28.14557577,0.483459083
Mine,Inshore,Day,87.5,27.06732615,0.335171213
Mine,Inshore,Day,112.5,29.49882934,0.20069646
Mine,Inshore,Night,12,30.20605327,0.796595503
Mine,Inshore,Night,37,28.81704659,0.70609686
Mine,Inshore,Night,62,29.01752062,0.67134953
Mine,Inshore,Night,87,28.9815936,0.358623561
Mine,Inshore,Night,112,27.81545744,0.136655544
Mine,Inshore,Night,12,28.69447087,0.960521858
Mine,Inshore,Night,37,28.23326294,0.638517817
Mine,Inshore,Night,62,29.30497387,0.407652174
Mine,Inshore,Night,87,31.14238069,1.966063888
Mine,Inshore,Night,112,27.9758916,0.394750052
Reference,Inshore,Day,12.5,28.21918712,0.283475547
Reference,Inshore,Day,37.5,28.35445284,0.459586443
Reference,Inshore,Day,62.5,28.40894252,0.427267491
Reference,Inshore,Day,87.5,27.93956569,0.567224984
Reference,Inshore,Day,112.5,27.9379264,0.175837006
Reference,Inshore,Day,12.5,30.98933108,0.878530484
Reference,Inshore,Day,37.5,29.04138241,0.086216817
Reference,Inshore,Day,62.5,29.37342301,0.550654852
Reference,Inshore,Day,87.5,28.67903368,0.717424607
Reference,Inshore,Day,112.5,26.82371677,0.441153202
Reference,Inshore,Day,225,29.00738796,0.061938413
Reference,Inshore,Day,225,28.65752458,0.103022142
Reference,Inshore,Day,225,27.90764099,0.08529566
Reference,Inshore,Day,225,29.44342399,0.092594799
Reference,Inshore,Day,225,29.82773845,0.089466597
Reference,Inshore,Day,12.5,28.82433865,0.193290111
Reference,Inshore,Day,37.5,29.26327321,0.676105296
Reference,Inshore,Day,62.5,28.87002265,0.089946883
Reference,Inshore,Day,87.5,29.97133276,0.3510389
Reference,Inshore,Day,112.5,29.3453705,0.330534292
Reference,Inshore,Night,12,28.20410444,0.532919705
Reference,Inshore,Night,37,28.79005026,0.437702337
Reference,Inshore,Night,62,26.87400245,0.572791977
Reference,Inshore,Night,87,32.22338347,0.509710471
Reference,Inshore,Night,112,28.09192253,0.336533884
Reference,Inshore,Night,12,28.4026414,0.426421178
Reference,Inshore,Night,37,29.64367395,0.613721346
Reference,Inshore,Night,62,28.72414276,0.678074026
Reference,Inshore,Night,87,28.46742595,0.545304287
Reference,Inshore,Night,112,30.78528685,0.185945375
Reference,Inshore,Night,12,28.69098199,0.646493715
Reference,Inshore,Night,37,28.32659291,0.478884233
Reference,Inshore,Night,62,27.33631265,0.500865805
Reference,Inshore,Night,87,28.24567861,0.830589375
Reference,Inshore,Night,112,29.96141014,0.640998322
