"ID","sire","dam","Sex","sex_nr","TotalLength","TailDepth","BodyDepth","HeadLength","SwimSpeed"
228,25,99,"F",2,36.7,3.7,10.7,23,32.8797045
229,9,68,"F",2,23.6,2.9,7.3,14.9,85.79491501
230,23,95,"F",2,32.8,4.1,10.2,21.6,15.34597046
231,35,119,"F",2,28.8,3.4,8.9,18.3,53.26880371
232,37,124,"F",2,31.4,3.9,9.5,19,59.95961222
233,17,83,"F",2,29.9,3.9,9.4,19,40.7884063
234,22,94,"F",2,22.4,2.7,6.5,13.9,86.68904464
235,12,73,"F",2,21.5,2.5,6.6,13.8,111.9256654
236,6,62,"F",2,22.7,3,7.2,14.3,56.9815987
237,12,73,"F",2,24.1,2.5,7.6,14.7,67.79887286
238,27,104,"F",2,31.3,3.6,9.6,20.4,38.0348387
239,13,76,"F",2,28,3.5,9.2,18.4,67.41159344
240,5,60,"F",2,27.5,3.5,8.7,17.5,68.76610085
241,22,94,"F",2,24.2,2.8,7.1,15.3,85.02686407
242,24,97,"F",2,26.9,3.1,8.6,16.3,73.69952716
243,1,51,"M",1,20.8,2.5,5,12.3,89.32170758
244,30,109,"M",1,30.8,4.2,9,18.7,81.98721104
245,30,110,"M",1,28.5,3.6,7.1,16.4,76.45121022
246,11,72,"M",1,25.9,2.9,7,16.9,55.65412715
247,25,99,"M",1,27.9,3.2,7.1,16.5,55.12331047
248,20,90,"M",1,27.6,3.4,6.9,16.4,77.6638164
249,40,129,"M",1,28.4,3.3,7.5,17,80.43943697
250,39,127,"M",1,27.2,3.4,7.1,16.5,77.88901378
251,30,110,"M",1,27.7,3.2,8,17.3,60.99486578
252,19,87,"M",1,32.3,3.4,8.1,19.2,63.36493784
253,10,70,"M",1,27.8,3.8,7.1,16.9,80.02284397
254,8,66,"M",1,22,2.9,5.6,13.6,73.16807517
255,8,66,"M",1,27.2,3.3,6.7,15.8,82.55903413
256,19,87,"M",1,29.4,3.5,7.8,16.9,73.36651723
257,4,58,"M",1,24.8,3.3,7,15,77.0498111
258,10,70,"M",1,25.3,3,6.7,14.8,52.92685776
259,1,52,"M",1,21.7,2.3,5.6,12.7,78.11176083
260,3,56,"M",1,27.1,3.5,6.7,15.6,68.44074018
261,16,82,"M",1,24.4,3,6.4,15,59.49956528
262,16,81,"M",1,26,3.5,6.9,15.8,68.61203447
263,38,126,"M",1,26.2,3.2,6.6,15.3,87.27201009
264,10,70,"M",1,27.7,3.7,7.3,16.4,77.74404982
265,26,101,"M",1,16.9,1.7,4.8,10.5,76.43404097
266,15,79,"F",2,29.9,3.6,9,18.7,76.58585907
267,10,69,"F",2,28.5,3.2,9.5,17.4,78.34646304
268,10,70,"F",2,41.2,4.7,11.9,25.7,27.63640175
269,14,78,"F",2,28.8,3.6,8.9,18.1,53.36177219
270,14,77,"F",2,26.4,3.7,8.9,17.2,91.72944699
271,4,57,"F",2,30.9,3.6,9.8,18.8,48.30898084
272,29,107,"F",2,33.8,4,12.2,22.2,72.22304071
273,39,128,"F",2,22.4,2.7,7.1,13.9,104.9525446
274,38,126,"F",2,28.3,3.3,8.9,18.1,59.58235324
275,31,111,"F",2,28.5,3.4,9,17.9,73.916949
276,1,51,"F",2,20.9,2.5,6.2,13,92.77824159
277,36,122,"F",2,27.1,2.9,8.2,16.9,59.16680162
278,1,51,"F",2,20.7,2.1,6.2,12.9,81.78635114
279,14,77,"M",1,28.4,3.3,7.7,16.6,57.8876028
280,5,60,"M",1,28.1,3.4,7.6,18,62.19594363
281,37,123,"M",1,31.4,3.5,7.8,19.1,75.98346051
282,21,91,"M",1,22.5,3.1,6,14.1,74.70977783
283,34,117,"M",1,27.8,3,7.2,16.9,41.71870906
284,39,128,"M",1,26.3,3.2,7.4,16.6,69.14937816
285,7,64,"M",1,30.2,3.6,7.3,18.5,79.27258646
286,15,80,"M",1,29.1,3.7,7.8,17.6,65.08025256
287,39,127,"M",1,29.2,3.4,7.3,16.9,75.42764566
