"ID","sire","dam","Sex","sex_nr","TotalLength","TailDepth","BodyDepth","HeadLength","SwimSpeed"
388,3,55,"F",2,23.1,2.8,7.7,14.3,124.5721747
389,32,114,"F",2,26.7,3.2,8.2,17.4,70.99187301
390,11,71,"F",2,32.4,3.5,9.4,19.9,80.98648328
391,22,93,"F",2,34.5,4.2,11.3,23.2,36.22608715
392,33,115,"F",2,32.3,3.4,10.8,21.6,29.94632857
393,41,132,"F",2,27.8,3.2,8.7,17.7,33.35123959
394,14,77,"F",2,26.3,3.1,8.2,16.6,73.9937699
395,4,58,"F",2,28.3,3.3,8.9,17,71.35815303
396,12,73,"F",2,21.1,2.2,6.1,12.6,95.6050989
397,9,67,"F",2,18.8,2.4,5.3,11.8,104.1276951
398,33,116,"M",1,29.3,3.9,7.7,17.7,84.57440657
399,16,81,"M",1,28.3,3.5,7.7,17.9,64.18092563
400,15,79,"M",1,26.8,4.1,7.3,16,87.78208889
402,19,87,"M",1,32.2,4,8.7,19.3,66.22075984
403,5,59,"M",1,33,4.1,8.7,20.3,74.77345129
404,35,119,"M",1,29.9,3.7,8.1,18.3,75.62724154
405,26,102,"M",1,27.9,3.2,7.2,17.8,68.91333324
406,30,109,"M",1,32.5,4.5,9.3,19.2,93.05874556
407,29,108,"M",1,29.7,3.9,7.9,18.7,81.57115761
408,25,100,"M",1,27.4,3.4,7.8,16.5,71.84534403
409,18,86,"M",1,28,3.1,7.2,16.7,77.72938858
410,8,65,"M",1,23.4,2.8,6.3,14.8,58.73886433
411,29,108,"M",1,32.6,4.2,8.8,19.4,69.58918315
412,14,78,"M",1,26.8,2.9,6.6,16.4,62.82737718
413,6,61,"M",1,27.4,3.9,8,17.3,74.23648843
414,24,97,"M",1,27.9,3.2,7,17,64.79350628
415,2,54,"M",1,22.2,2.6,5.5,12.9,69.4967727
416,7,64,"M",1,29.2,3.3,7.9,16.3,57.17879427
417,6,62,"M",1,26.4,3.4,6.5,15.3,91.2014222
418,25,100,"M",1,27.6,3.7,7.2,17,67.28542751
419,3,55,"M",1,22.3,2.7,5.5,13.1,53.41043193
420,5,60,"M",1,27.9,3.7,7.4,18,48.49433956
421,27,103,"M",1,27.9,3.4,7.1,16.5,88.40229965
422,3,56,"M",1,23.7,2.7,5.7,14,70.03999798
423,38,125,"M",1,24.5,3.2,6.1,15,86.71127062
424,35,119,"F",2,31.3,3,8.8,18.8,64.68787971
425,10,69,"F",2,30.4,3.2,9.3,19.5,50.60531798
427,38,126,"F",2,29.1,3.2,7.9,18.1,50.70681674
428,3,55,"F",2,26.8,3.5,8.7,17,54.5849713
429,33,115,"F",2,32,3.4,9.6,21,71.46087127
430,17,84,"F",2,32.8,4,9.9,21.3,52.52812688
431,34,118,"F",2,26.9,3.2,8.4,16.4,80.26579549
432,8,65,"F",2,22.1,2.8,6.5,14,110.8320207
433,37,124,"F",2,29.3,3.3,8.2,18.3,75.793561
434,41,131,"F",2,37.2,4.2,12,23.3,46.06305896
435,30,109,"F",2,33.2,4,11,20.4,26.6215684
436,32,114,"F",2,25.2,3.1,8,15.9,78.74446296
437,7,64,"F",2,35.1,4.2,11.1,22.2,48.98741209
438,27,104,"F",2,34.6,4.4,11.7,22.7,60.27590779
439,40,130,"F",2,26.4,3.2,8.1,16.4,69.00596455
440,30,110,"F",2,28.3,3.7,8.4,17.7,54.09536969
441,18,86,"F",2,28.1,3.7,8.9,17.6,65.24237847
442,40,129,"F",2,29.9,3.7,9.4,18.9,63.41170163
443,29,108,"F",2,28,3.2,9.1,18,77.90604644
444,19,87,"F",2,31.6,3.9,9.7,19.5,46.35571036
445,16,82,"F",2,25.2,3.2,8.1,16,77.29303519
446,21,92,"F",2,27.2,3.8,8.7,16.4,79.69970009
447,34,117,"F",2,29.3,3.3,9.9,18.5,71.95417325
448,2,53,"F",2,30,3.8,9,18.6,88.0640062
449,19,88,"F",2,30.8,3.1,10.5,20.8,41.09581899
451,22,94,"F",2,24.5,2.7,7.5,15.4,80.5050267
452,36,122,"F",2,23.9,3.2,7.7,15.1,89.77206944
453,1,52,"F",2,22.9,2.8,6.8,13.7,75.12092783
454,12,74,"F",2,22.3,2.6,6.9,13.2,95.20414617
455,2,54,"F",2,35.8,4.1,10.6,22.5,31.20048936
456,26,101,"F",2,37.2,4.3,11.8,24.5,23.70700918
457,8,65,"F",2,25.5,3.1,7.8,15.6,73.79274594
458,3,56,"F",2,21.1,2.5,6.3,13,106.638861
459,21,91,"F",2,28.7,3.9,9.8,17.9,45.58731482
460,21,91,"F",2,27.6,3.2,8.8,17.1,78.855132
461,8,65,"F",2,24.9,2.8,7.2,14.9,81.68246659
462,22,93,"M",1,29.5,3.9,7.5,17.8,66.27760171
463,14,77,"M",1,25,3.1,7.1,15.3,74.27476443
464,34,118,"M",1,28.9,3.5,7.7,17.8,62.73115562
465,21,92,"M",1,28.5,3.3,7.3,16.8,69.37105139
466,38,126,"M",1,29,3.6,7.1,18.1,64.55370658
467,36,122,"M",1,34.1,4.1,8.8,20.5,74.81731508
468,33,116,"M",1,29.9,3.6,7.8,18.1,63.22429502
469,6,61,"M",1,27.9,3.7,7.8,17.4,90.9764488
470,28,106,"M",1,27.5,3.8,7.4,17.2,88.90121707
471,30,110,"M",1,27.5,3.3,7.2,17.7,65.05915865
472,41,132,"M",1,30.4,3.5,7.7,18.4,56.48920401
473,13,75,"M",1,27.8,3.5,7.7,16.1,80.58593066
474,31,112,"M",1,28.3,3.2,7.6,16.4,76.84614189
475,27,104,"M",1,30.5,4.2,8,18.5,80.46194822
476,34,117,"M",1,26.9,3.1,6.8,16.5,54.18290159
477,32,113,"M",1,29.9,3.4,7.3,17.4,80.70083313
478,7,64,"M",1,27.8,3.3,7,16.7,69.7065457
479,40,129,"M",1,29.5,3.7,7.6,17.8,84.66589314
480,40,129,"M",1,28.3,3.7,7.5,17,67.54201587
481,18,85,"M",1,25.9,3.1,6.6,15.3,74.9450134
482,37,123,"M",1,34.1,4.1,9,20.3,67.91989807
483,41,131,"M",1,29.9,3.7,7.8,17.7,76.91912972
484,42,133,"M",1,29.8,3.9,8.3,18.6,75.49048954
485,12,74,"M",1,23.8,3.1,5.9,14,81.64540508
486,37,124,"M",1,29.6,3.7,7.9,18.5,76.7012346
487,27,104,"M",1,27.6,3.3,7.1,16.3,73.06476874
488,13,75,"M",1,26.3,3.3,6.9,15.7,67.31741423
489,16,82,"M",1,24,3,6.1,14.4,80.05578327
490,18,85,"M",1,24.7,3,6.1,15,75.96266238
491,32,114,"M",1,35.4,4,9.6,22.2,63.72750518
492,28,105,"M",1,27.9,3.2,7.6,15.3,80.50317862
493,22,94,"M",1,28,3.8,8,17.8,81.04117916
494,26,101,"M",1,25,3.2,6.2,15.4,76.76023249
495,30,110,"F",2,35.2,4.4,12.9,22.9,58.7275246
496,20,90,"F",2,35.8,4.2,11.4,22.5,36.59261482
497,6,62,"F",2,30,3.7,8.6,18.4,78.25003903
498,39,128,"F",2,29.4,3.4,8.3,18,76.74155602
499,40,129,"F",2,28.1,3.9,9,17.6,75.16102709
500,12,74,"F",2,22,2.7,6.7,13.9,75.59501298
