year,transect_id,site_id,lat,lon,facies,reef_name,plhcoral,family,scientific_name,length_cm,av.weight.g,animal_count
2017,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,10,Acanthuridae,Acanthurus olivaceus,25,124.4134953,5
2015,1976,69750,-22.235967,113.835172,Bommie,Osprey,2,Acanthuridae,Acanthurus dussumieri,25,153.7774316,5
2019,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,20,60.65874121,2
2015,1958,69741,-21.844962,114.036099,Inshore,Jurabi,0,Acanthuridae,Acanthurus dussumieri,10,15.07856716,1
2019,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,15,Acanthuridae,Acanthurus dussumieri,30,107.2226485,8
2015,1471,69420,-21.996843,113.906339,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,30,48.64909059,19
2017,585,46815,-22.24252,113.82305,Reef slope,Osprey,30,Acanthuridae,Acanthurus olivaceus,20,52.13341056,2
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,492.8058182,3
2019,1926,69724,-21.949189,113.941163,Bommie,Mangrove,5,Acanthuridae,Acanthuridae - undifferentiated,40,64.98298384,23
2019,1926,69724,-21.949189,113.941163,Bommie,Mangrove,5,Acanthuridae,Acanthuridae - undifferentiated,30,51.64621178,13
2019,1926,69724,-21.949189,113.941163,Bommie,Mangrove,5,Acanthuridae,Acanthuridae - undifferentiated,20,16.24622794,11
2016,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus bariene,30,448.2664432,4
2016,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus grammoptilus,30,159.4606146,4
2016,1930,69726,-21.96853,113.931722,Lagoon,Mangrove,2,Acanthuridae,Acanthurus grammoptilus,30,443.5063356,3
2019,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,15,Acanthuridae,Acanthurus blochii,25,212.2561029,-0
2017,1992,69758,-22.219689,113.841735,Lagoon,Osprey,1,Acanthuridae,Acanthurus blochii,15,19.42422313,6
2016,382,31487,-22.21801,113.83309,Reef slope,Osprey,30,Acanthuridae,Acanthurus blochii,25,469.8979632,2
2016,382,31487,-22.21801,113.83309,Reef slope,Osprey,30,Acanthuridae,Acanthurus blochii,40,962.2981739,0
2016,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,30,783.4546693,2
2018,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,25,Acanthuridae,Acanthurus olivaceus,15,108.3109983,3
2019,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,20,13.6152392,19
2016,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,30,1023.359985,2
2018,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,60,Acanthuridae,Acanthurus olivaceus,20,12.14193033,17
2015,1554,69533,-22.21494,113.83396,Reef slope,Osprey,30,Acanthuridae,Acanthurus nigricans,20,90.49013701,2
2017,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,15,Acanthuridae,Acanthurus nigricans,20,97.79418946,1
2018,382,31487,-22.21801,113.83309,Reef slope,Osprey,40,Acanthuridae,Acanthurus nigricans,25,337.509469,1
2018,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,25,Acanthuridae,Acanthurus olivaceus,20,83.94429615,5
2018,1988,69756,-22.210351,113.835806,Reef slope,Osprey,60,Acanthuridae,Acanthurus olivaceus,21,324.6061064,1
2016,1486,69430,-21.92184,113.922316,Reef slope,Mangrove,25,Acanthuridae,Acanthurus olivaceus,20,276.4601995,2
2016,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,30,861.8548508,-0
2019,1486,69430,-21.92184,113.922316,Reef slope,Mangrove,5,Acanthuridae,Acanthurus olivaceus,20,132.5333139,4
2018,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,45,Acanthuridae,Acanthurus olivaceus,25,85.22533875,9
2018,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus olivaceus,25,173.9156238,4
2018,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,20,13.08391094,18
2017,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,30,189.6802713,6
2016,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,5,Acanthuridae,Acanthurus olivaceus,20,241.875405,1
2016,559,46737,-22.22481,113.83445,Reef flat,Osprey,85,Acanthuridae,Acanthurus dussumieri,40,1642.365716,-0
2018,585,46815,-22.24252,113.82305,Reef slope,Osprey,30,Acanthuridae,Acanthurus dussumieri,25,21.49631698,22
2016,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,30,374.3695605,1
2017,1984,69754,-22.254868,113.818245,Reef slope,Osprey,50,Acanthuridae,Acanthurus dussumieri,30,13.40699402,50
2016,1930,69726,-21.96853,113.931722,Lagoon,Mangrove,2,Acanthuridae,Acanthurus dussumieri,30,373.0439879,-0
2019,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,15,Acanthuridae,Acanthurus nigricans,20,42.44266824,4
2019,908,66151,-22.2239,113.83965,Lagoon,Osprey,0,Acanthuridae,Acanthurus nigricans,12,10.75914534,7
2018,1998,69761,-21.90659,113.93112,Reef slope,Mangrove,16,Acanthuridae,Acanthurus nigricans,30,265.8358134,5
2015,1507,69448,-21.857799,113.980959,Reef slope,Jurabi,15,Acanthuridae,Acanthurus nigricans,20,47.03303898,6
2018,1746,69589,-21.987901,113.922764,Bommie,Mangrove,5,Acanthuridae,Acanthurus grammoptilus,25,282.959593,3
2017,1974,69749,-22.234189,113.83415,Bommie,Osprey,1,Acanthuridae,Acanthurus grammoptilus,30,224.1531516,4
2016,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus grammoptilus,35,151.795635,6
2017,1465,69417,-22.009255,113.90068,Reef slope,Mangrove,64,Acanthuridae,Acanthurus grammoptilus,25,296.4146275,2
2018,1486,69430,-21.92184,113.922316,Reef slope,Mangrove,25,Acanthuridae,Acanthurus grammoptilus,30,211.9074254,1
2017,1984,69754,-22.254868,113.818245,Reef slope,Osprey,50,Acanthuridae,Acanthurus grammoptilus,30,21.20007375,17
2016,1930,69726,-21.96853,113.931722,Lagoon,Mangrove,2,Acanthuridae,Acanthurus grammoptilus,30,231.892511,3
2019,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,30,201.1084029,6
2019,1554,69533,-22.21494,113.83396,Reef slope,Osprey,35,Acanthuridae,Acanthurus dussumieri,30,154.7902625,6
2018,571,46748,-22.22391,113.83043,Reef slope,Osprey,35,Acanthuridae,Acanthurus dussumieri,30,679.8225657,3
2017,1962,69743,-21.945443,113.940048,Bommie,Mangrove,15,Acanthuridae,Acanthurus dussumieri,25,87.27807899,2
2015,1988,69756,-22.210351,113.835806,Reef slope,Osprey,35,Acanthuridae,Acanthurus dussumieri,20,8.428891099,30
2015,1950,69737,-21.852921,114.018259,Inshore,Jurabi,0,Acanthuridae,Acanthurus dussumieri,15,49.28374376,0
2017,1746,69589,-21.987901,113.922764,Bommie,Mangrove,5,Acanthuridae,Acanthurus dussumieri,20,43.71923175,7
2018,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,15,Acanthuridae,Acanthurus dussumieri,35,39.41171426,30
2016,1467,69418,-22.006228,113.901669,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,113.6722583,5
2017,1554,69533,-22.21494,113.83396,Reef slope,Osprey,35,Acanthuridae,Acanthurus olivaceus,25,36.53808845,14
2017,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,10,Acanthuridae,Acanthurus olivaceus,25,68.77984959,8
2019,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,20,31.68852534,7
2018,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,7,Acanthuridae,Acanthurus olivaceus,25,60.76108981,8
2018,1469,69419,-22.003049,113.903999,Reef slope,Mangrove,35,Acanthuridae,Acanthurus olivaceus,30,31.60090315,34
2018,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,60,Acanthuridae,Acanthurus olivaceus,25,26.91966811,23
2016,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,5,Acanthuridae,Acanthurus olivaceus,20,273.2298166,4
2015,1930,69726,-21.96853,113.931722,Lagoon,Mangrove,15,Acanthuridae,Acanthurus dussumieri,25,200.72775240000001,4
2015,1238,69178,-22.20555,113.83667,Reef slope,Osprey,20,Acanthuridae,Acanthurus dussumieri,30,40.26257344,20
2016,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,30,60.91832326,14
2019,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,25,50.37860349,12
2018,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,60,Acanthuridae,Acanthurus olivaceus,15,20.63981122,3
2019,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,10,Acanthuridae,Acanthurus olivaceus,20,275.1454487,1
2015,1481,69427,-21.952949,113.914424,Reef slope,Mangrove,15,Acanthuridae,Acanthurus grammoptilus,30,492.8868613,3
2017,1926,69724,-21.949189,113.941163,Bommie,Mangrove,20,Acanthuridae,Acanthurus grammoptilus,25,267.4409724,0
2015,1924,69723,-21.952067,113.939473,Bommie,Mangrove,20,Acanthuridae,Acanthurus grammoptilus,25,147.93922,3
2017,1924,69723,-21.952067,113.939473,Bommie,Mangrove,15,Acanthuridae,Acanthurus grammoptilus,30,219.5041476,5
2016,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,20,Acanthuridae,Acanthurus grammoptilus,25,93.838971,2
2018,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,25,Acanthuridae,Acanthurus grammoptilus,25,134.1184368,1
